No,Name_of_Company,Address,Phone,Industry
1.,"""ABON JUARA"" JUARA FOOD INDUSTRY","Jl. Jend Sudirman 339, Salatiga, Jawa Tengah",0298-324060,Abon Sapi Dan Ayam
2.,"""BERKAT ILAHI"" PIMPINAN GUSNA / GADIS","Indobaleh Barat Mungo, Lima Puluh Kota, Sumatera Barat",0752-789289,Kerupuk Karak Kaliang
3.,"""GLATIK"" HARSI KUE KERING","Dk. Demangan Rt.02/09, Klaten, Jawa Tengah",081329505225,Kue Pastel Segitiga
4.,"""MARISA"" USAHA KARAK KALIANG","Jl. Raya Payakumbuh -  Lintau Batang Tabik, Lima Puluh Kota, Sumatera Barat",0813 63 732203,Kerupuk Karak Kaliang
5.,"""MIYADI"" HAWAI ICE CREAM","Jl Parupuk Raya No. 54, Padang, Sumatera Barat",(0751) 7053543,Ice Cream
6.,"""NUR RIZKI"",UD","Nyalaran 203, Pamekasan, Jawa Timur",0324-321588,Krupuk Lekpalek
7.,"""RANGKIANG SUPER"" PIMPINAN ALFI HANIF","Depan Pasar Piladang, Lima Puluh Kota, Sumatera Barat",0752-7761176,Kerupuk Merah
8.,"""USAHA JAYA"" KUE KERING","Dk. Demangan Rt.03/09, Klaten, Jawa Tengah",0272-3116209,Kue Pastel Segitiga
9.,"( AK ) KALIMASODO, UD","Ds.brenggolo, Kediri, Jawa Timur",0354 443148,Jamu Cuka Apel
10.,( AK ) SATE REMIS SEMPURNO,"Dsn.kanotan, Semen. Ds, Kediri, Jawa Timur",,Sate Remis
11.,.MUSTIKA ANTIK.CV,"Dsn.paron, Ngawi, Jawa Timur",,Meubel Antik
12.,"13 PUTRA, PD","Bendungan, Cirebon, Jawa Barat",,Garam Kristal
13.,3.5 PRIMA,"Gor Perdamaian, Jl, Batu, Jawa Timur",0341 513931,Tahu
14.,"369, PR","Jalan Raya Baureno 4, Bojonegoro, Jawa Timur",0322 457567,Rokok
15.,"3M INDONESIA, PT","Jl Diponegoro Km 39 Desa Jatimulya, Bekasi, Jawa Barat",,Alat Kedokteran 3m Scotch
16.,"52 SUPER FOOD, PT (ROTI KARUNIA ABADI)","Jl. Mr. Kusbiyono Tjondro Wibowo No. 100, Semarang, Jawa Tengah",024-70791088,Roti
17.,54 II,"Punto Dewo No.25 Jl, Blitar, Jawa Timur",0342 804409,Es Batu
18.,555,"Umbulrejo Rt 04/rw Iii, Dsn  ;ds Bagorejo, Banyuwangi, Jawa Timur",(0333)592517,Krupuk
19.,"555/JOHAN GANI, PT","Negara Tama, Sp7, Way Kanan, Lampung",081367251130,Tepung Tapioka
20.,"88 /  DELAPAN DELAPAN, CV","Blok Sidapurna, Cirebon, Jawa Barat",,Furniture Rotan
21.,88 MEBEL,"Ds Suwawal Km.5, Jepara, Jawa Tengah",,Meja
22.,"A & ONE PRECISION ENGINEERING, PT","Jl. Asoka Lot Sd 62-63 Biie Lobam, Bintan, Kepulauan Riau",0770-696188,Elektronika
23.,A HUSET,"Lk Ii/rt Ii Indralaya Mulya, Ogan Ilir, Sumatera Selatan",30662,Kerupuk Ikan
24.,A JUMROAINI,"Dusun Lendang Belo, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
25.,A KARTA WIJAYA,"Jlkarta Miharja No.44, Bandung, Jawa Barat",022-6040619,Ofen Loyang Sendok
26.,"A PLUS PACIFIC/ A HONG, PT","Jl. Prof Dr.ir Soetami Km.6 Ds. Nameng Rangkasbitung, Lebak, Banten",0252-5282839,Internit/papan Gypsum
27.,A PUNG/SINAR JAYA,"Jln Bintang Terang Mulyo Rejo, Deli Serdang, Sumatera Utara",061-8460807,Tauco
28.,A WONGSO/SETIA PRABOT,"Jl.sidorukun No.36, Medan, Sumatera Utara",061-6612133-6610074,Meubel
29.,"A&K DOOR INDONESIA, PT","Kawasan Industri Kiic, Karawang, Jawa Barat",640948,Wooden Door
30.,"A&P INDUSTRY INDONESIA, PT","Jl Jababeka Vi Blok J-5a Jababeka, Bekasi, Jawa Barat",021-89836281-3,Komponen Tv
31.,A. FITRIAH,"Bumbasari, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
32.,A. SHOLEH,"Jl. Raya Gunung Sari, Bojonegoro, Jawa Timur",0322 459337,Kasur Lantai
33.,"A. SHULMAN PLASTICS, PT","Ngerong, Ds, Pasuruan, Jawa Timur",0343-854232,Plastik
34.,A. ZUHRIAH,"Jl. Hasanuddin Dusun Ketangga, Lombok Timur, Nusa Tenggara Barat",,Tembakau Omprongan
35.,"A.E BROTHERS, CV","Parit 19 Teluk Kayu  Kec Kateman, Indragiri Hilir, Riau",,Minyak Kelapa
36.,AA GD RAKA,"Petuju Melusung, Gianyar, Bali",085936123106,Patung Kayu
37.,AA JAYA PT,"Jl Pungkur, Bandung, Jawa Barat",0224204467,Sweater
38.,AA KULIT,"Kp.koropeak Rt,01/01, Garut, Jawa Barat",,Kulit Bahan Jaket
39.,AAN MIE / MIE YY,"Jl.paniis No 2, Sumedang, Jawa Barat",0585222222700,Mie Pedas
40.,"AARTI JAYA, PT","Jl. Kopo Bihbul Km 6.5 No.12, Bandung, Jawa Barat",0225431324,"Jaket,sajadah"
41.,AAS KERUDUNG,"Kp.ciayunan Rt 01/06, Bandung, Jawa Barat",,Kerudung
42.,ABA COLECTION,"Jl,kh Abdul Fatah Iv, Tulungagung, Jawa Timur",325687,Kaos Dan Trining
43.,ABADI,"Jl. Kalijaten 71-a, Sidoarjo, Jawa Timur",031-7881248,Kembang Api
44.,ABADI,"Manyar, Jl Beran, Ngawi, Jawa Timur",749407,Krupuk
45.,ABADI,"Kaliasin Pompa 47, Jl, Surabaya, Jawa Timur",5310855,Kembang Gula Teng2 Jahe
46.,"ABADI ADI MULIA, PT","Jl Rungkut Industri I/14, Surabaya, Jawa Timur",8439456,Botol Plastik
47.,ABADI AKSARA,"Raya Bekasi Km 21 Cakung, Jakarta Timur, DKI Jakarta",021-4609265,Dus Obat Dus Sepatu Dsb
48.,"ABADI BUSANA, PT","Jl Nurulhuda Bantargebang, Bekasi, Jawa Barat",021-8250185,Konveksi Celana
49.,ABADI COLLECTION,"Jl. K. H. Achmad Dahlan No.83  Ptk, Pontianak, Kalimantan Barat",(0561) 741164,Baju Kaos
50.,"ABADI ELTIGA/SATU FOAM, PT","Jl Raya Narogong Km 7, Bekasi, Jawa Barat",021-8250390/91,Asesories Bra
51.,"ABADI GARMENT, CV","Jl.sulaksana Ii No.38, Bandung, Jawa Barat",7208285,Baby Set & Pakaian Anak
52.,ABADI JAYA,"Jl. Suka Bumi Lama, Deli Serdang, Sumatera Utara",061-8443486,Kantong Plastik
53.,"ABADI JAYA MANUNGGAL , PT","Jl Raya Nolokerto  Km.19, Kendal, Jawa Tengah",024 8665562,Beton Neser
54.,ABADI JAYA PERKASA,"Jl. Babakan Ciparay No 279, Bandung, Jawa Barat",022-6012726,Makanan Ringan
55.,"ABADI JAYA PLATIK,  CV","Jl Semarang -purwodadi Km. 17, Demak, Jawa Tengah",024-6735455,Kantong Plastik
56.,"ABADI JAYA SENTOSA, PT","Jl. Kh. Wahid Hasyim No.11, Kudus, Jawa Tengah",(0291) 437761,Barang Barang Cetakan
57.,"ABADI JAYA, PT","Ruko Taman Pondok Kelapa D11, Jakarta Timur, DKI Jakarta",021-86904733,Dus Obat
58.,ABADI KERAJINAN BAMBU,"Singojayan, Sleman, D.I. Yogyakarta",0274-6497004,Tas Dari Rotan Dan Bambu
59.,ABADI KURNIA CITRA RASA,"Kertajaya Raya No.63.jl, Surabaya, Jawa Timur",0341 5033180,Roti
60.,"ABADI MULYA SUKSES, PT","Tropodo I/142, Sidoarjo, Jawa Timur",8672845,Alat Lampu Tekan
61.,"ABADI N.H., UD","Delik Rt01/rw2, Dsn, Banyuwangi, Jawa Timur",(0333 )411446,Garam Yodium
62.,"ABADI NYLON ROPE & FISHING NET MANU,PT","Ketegan 42-44 Sepanjang Jl, Sidoarjo, Jawa Timur","7881052, 8912152",Trepal Plastik
63.,"ABADI PLAST, UD","Toyamas Timur, Dsn, Banyuwangi, Jawa Timur",(0333)393407,Plastik Olahan Daur Ulang
64.,"ABADI PLASTIK, PT","Jl Raya Narogong Ds Bojong    Rawak Lumbu, Bekasi, Jawa Barat",8203907,Botol Plastik
65.,ABADI ROTAN,"Ds Telukwetan, Jepara, Jawa Tengah",0291 758363,Kursi Rotan
66.,ABADI ROTI,"Jl Siliwangi No 21 Kel Pakuan, Garut, Jawa Barat",0262-233043,Roti
67.,"ABADI SALIM ANGGADA, CV","Jl. Moh. Toha Periuk Tangerang, Tangerang, Banten",021-59316203,Kancing  Plastik
68.,ABADI TENUN,"Jl. Mangga No. 1, Tegal, Jawa Tengah",0283-351596,Sarung
69.,ABADI UTAMA,"Tanjung Pura 2 No. 3 Rt. 007/005, Jakarta Barat, DKI Jakarta",021-5402946,Kusen
70.,"ABADI, CV","Gayungan Barat X/16 Jl, Surabaya, Jawa Timur",8292142,Barang Cetakan
71.,"ABADI, PD","Jl Mekar Sari Abadi No 46 Cijawura, Bandung, Jawa Barat",0227563123,Kerupuk Ikan Kempang
72.,"ABADI, UD","Raya Situbondo Jl, Situbondo, Jawa Timur",891163,Beras
73.,"ABADI,CV","Jl Kalijudan No 35, Surabaya, Jawa Timur",031 3892158,Perhiasan Emas Dan Perak
